REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964359,8.1.1.3.4,63.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964359,8.1.1.3.4,55.8,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964359,8.1.1.3.4,49.7,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964366,8.1.1.4.4,10.4,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964366,8.1.1.4.4,14.6,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806964366,8.1.1.4.4,17.2,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964373,8.1.1.5.4,19.2,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964373,8.1.1.5.4,19.6,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806964373,8.1.1.5.4,19,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Mood disorder,Percent,Percent,239,units,0,v1806964415,8.1.1.11.4,12.2,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Mood disorder,Percent,Percent,239,units,0,v1806964415,8.1.1.11.4,10.7,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Mood disorder,Percent,Percent,239,units,0,v1806964415,8.1.1.11.4,13.7,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Anxiety disorder,Percent,Percent,239,units,0,v1806964422,8.1.1.12.4,12.4,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Anxiety disorder,Percent,Percent,239,units,0,v1806964422,8.1.1.12.4,12.9,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Anxiety disorder,Percent,Percent,239,units,0,v1806964422,8.1.1.12.4,,..,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964443,8.1.1.15.4,26,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964443,8.1.1.15.4,31,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Cannabis use, past 12 months",Percent,Percent,239,units,0,v1806964443,8.1.1.15.4,24.1,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Heavy drinking,Percent,Percent,239,units,0,v1806964471,8.1.1.19.4,21.3,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Heavy drinking,Percent,Percent,239,units,0,v1806964471,8.1.1.19.4,22.7,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,Heavy drinking,Percent,Percent,239,units,0,v1806964471,8.1.1.19.4,22.5,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964499,8.1.1.23.4,75.4,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964499,8.1.1.23.4,72.7,,,,1
2023/2024,Prince Edward Island,2021A000211,"Total, 18 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806964499,8.1.1.23.4,67.4,,,,1
2019/2020,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964534,8.1.2.3.4,68,,,,1
2021/2022,Prince Edward Island,2021A000211,"Total, 18 years and over",Males,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806964534,8.1.2.3.4,56.2,,,,1
