"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, family","High 95% confidence interval, number of persons","Number","223","units","0","v114665569","10.5.2.5.3","68800","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, family","Percent","Percent","239","units","0","v114665570","10.5.2.5.4","13.3","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, family","Low 95% confidence interval, percent","Percent","239","units","0","v114665571","10.5.2.5.5","10.1","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, family","High 95% confidence interval, percent","Percent","239","units","0","v114665572","10.5.2.5.6","17.3","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, family","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665573","10.5.2.5.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","Number of persons","Number","223","units","0","v114665574","10.5.2.6.1","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, number of persons","Number","223","units","0","v114665575","10.5.2.6.2","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, number of persons","Number","223","units","0","v114665576","10.5.2.6.3","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","Percent","Percent","239","units","0","v114665577","10.5.2.6.4","","..","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v114665578","10.5.2.6.5","","..","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","High 95% confidence interval, percent","Percent","239","units","0","v114665579","10.5.2.6.6","","..","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, school work (12 to 34 years old)","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665580","10.5.2.6.7","","..","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","Number of persons","Number","223","units","0","v114665581","10.5.2.7.1","43400","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, number of persons","Number","223","units","0","v114665582","10.5.2.7.2","27800","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, number of persons","Number","223","units","0","v114665583","10.5.2.7.3","57000","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","Percent","Percent","239","units","0","v114665584","10.5.2.7.4","10.8","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","Low 95% confidence interval, percent","Percent","239","units","0","v114665585","10.5.2.7.5","7.6","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","High 95% confidence interval, percent","Percent","239","units","0","v114665586","10.5.2.7.6","15.1","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, time pressures/ not enough time","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665587","10.5.2.7.7","0","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","Number of persons","Number","223","units","0","v114665588","10.5.2.8.1","22900","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","Low 95% confidence interval, number of persons","Number","223","units","0","v114665589","10.5.2.8.2","16200","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","High 95% confidence interval, number of persons","Number","223","units","0","v114665590","10.5.2.8.3","30500","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","Percent","Percent","239","units","0","v114665591","10.5.2.8.4","5.7","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","Low 95% confidence interval, percent","Percent","239","units","0","v114665592","10.5.2.8.5","4.1","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","High 95% confidence interval, percent","Percent","239","units","0","v114665593","10.5.2.8.6","7.8","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, health","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665594","10.5.2.8.7","-1","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","Number of persons","Number","223","units","0","v114665595","10.5.2.9.1","11900","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","Low 95% confidence interval, number of persons","Number","223","units","0","v114665596","10.5.2.9.2","7200","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","High 95% confidence interval, number of persons","Number","223","units","0","v114665597","10.5.2.9.3","18000","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","Percent","Percent","239","units","0","v114665598","10.5.2.9.4","3.0","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","Low 95% confidence interval, percent","Percent","239","units","0","v114665599","10.5.2.9.5","1.9","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","High 95% confidence interval, percent","Percent","239","units","0","v114665600","10.5.2.9.6","4.7","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, other","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665601","10.5.2.9.7","0","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, none","Number of persons","Number","223","units","0","v114665602","10.5.2.10.1","44500","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, none","Low 95% confidence interval, number of persons","Number","223","units","0","v114665603","10.5.2.10.2","31200","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, none","High 95% confidence interval, number of persons","Number","223","units","0","v114665604","10.5.2.10.3","57900","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, none","Percent","Percent","239","units","0","v114665605","10.5.2.10.4","11.1","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Main source of stress in day-to-day life, none","Low 95% confidence interval, percent","Percent","239","units","0","v114665606","10.5.2.10.5","8.1","E","","","1"
